Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
83,40,80,1118,FALSE,1.5,0,11/22/2024 10:44,FALSE,0,1,95,33.1,3142,,1.5,5,11/22/2024 11:37,FALSE,0,1,Demo,95,2,14,GF,40/80,1019,1019,Perdix 2
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar,
265,32.5,0,4,0.89,0.21,0,0,8,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
270,32.3,0,4,0.88,0.21,0,0,8,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
275,31.9,0,4,0.87,0.21,0,0,8,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
280,31.3,0,4,0.86,0.21,0,0,8,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
285,30.6,0,4,0.85,0.21,0,0,8,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
290,30.4,0,4,0.84,0.21,0,0,8,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
295,30.2,0,3,0.84,0.21,0,0,9,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
300,30,0,3,0.83,0.21,0,0,9,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
305,30.3,0,3,0.84,0.21,0,0,9,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
310,29.9,0,3,0.83,0.21,0,0,9,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
315,30.3,0,3,0.84,0.21,0,0,9,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
320,30.2,0,3,0.84,0.21,0,0,9,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
325,29.9,0,3,0.83,0.21,0,0,9,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
330,30.4,0,3,0.84,0.21,0,0,8,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
335,30.8,0,3,0.85,0.21,0,0,8,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
340,31.3,0,3,0.86,0.21,0,0,8,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
345,31.6,0,4,0.87,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
350,31.6,0,4,0.86,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
355,32,0,4,0.87,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
360,32.1,0,4,0.88,0.21,0,0,7,1,0,29,TRUE,TRUE,0,0,0,0,0,1.5,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0,
